q,expect_q,nn_sim_q,nn_stan_q,nn_score,sm_sim_q,sm_stan_q,sm_score,new_stan_q
怎么 物流,查询送货动态,怎么 物流,查询送货,1.0,怎么 物流,查询送货,1.0,查询送货
我 订单 刚 开始 支付 优惠 取消,支付为什么显示失败,优惠 刚 开始 抢 结束,为什么抢购不到商品,1.0,刚 支付 完 订单 怎么 现在 说 我 取消 订单,订单被自动取消了,0.51,订单被自动取消了
发票 更改 成 电子发票,发票类型是否可以更改,电子发票 更改 成 发票,电子发票和普通纸质发票怎么互换,1.0,电子发票 更改 成 发票,电子发票和普通纸质发票怎么互换,1.0,电子发票和普通纸质发票怎么互换
问时间 收 不 到货 我 取消 订单,查询送货动态,为什么 我 现在 收 不 到货,为什么还没送到,1.0,我 问时间 订单 为什么 取消,订单被自动取消了,0.57,订单被自动取消了
没有 退换货 怎么 说 巳 完成,怎么修改收货人地址、电话,没有 到 怎么 说 完成,为什么未收货却显示送货完成了,1.0,退换货 完成,咨询退换货进度,0.62,咨询退换货进度
我 订单 31140816719 问时间 都 没收到,查询送货动态,我 订单 怎么 没收到,为什么还没送到,1.0,订单 我 都 没收到 退款,退款什么时候到账,0.69,退款什么时候到账
问时间 到货 问时间 买,下单多久发货,问时间 买 问时间 到货,什么时候送,1.0,问时间 买 问时间 到货,什么时候送,1.0,什么时候送
订单 里 发票 信息 怎么 从 电子 更改 纸质,发票类型是否可以更改,我 发票 是 电子 还是 纸质,我开的什么发票,1.0,发票 信息 怎么 更改,如何设置发票信息,0.57,如何设置发票信息
我 订单 没有 发货,查询送货动态,订单 为什么 没有 发货,为什么还没送到,1.0,订单 为什么 没有 发货,为什么还没送到,0.79,为什么还没送到
我 更改 发票 信息,发票信息是否可以更改,发票 信息 怎么 更改,如何设置发票信息,1.0,发票 信息 怎么 更改,如何设置发票信息,0.85,如何设置发票信息
这些 订单 我 没有 自提,查询送货动态,我 订单 要是 自提,怎么自提,1.0,我 订单 要是 自提,怎么自提,0.69,怎么自提
有 订单 已经 到 系统 说 待 到,订单没有物流信息,订单 说 待 评价了 我 没有 到,为什么未收货却显示送货完成了,1.0,订单 说 待 评价了 我 没有 到,为什么未收货却显示送货完成了,0.51,为什么未收货却显示送货完成了
我 为什么 我 看 不到 我 买 订单 信息,怎么查询订单,我 怎么 看 不到 我 预约 订单,怎么查看预约的商品,1.0,商品 我 没有 买 怎么 有 订单 信息,我的账户出现了不是我的订单怎么办,0.57,我的账户出现了不是我的订单怎么办
我 订单 怎么 支付 不 起来,支付为什么显示失败,大聚惠 订单 不 支付 能,大聚会怎么参加,1.0,订单 支付 2次 怎么,怎么扣了我两笔啊,0.59,怎么扣了我两笔啊
我 更改 发票 信息 物流 问地点,发票信息是否可以更改,我 信息 更改 问地点 更改 不了,怎么修改收货人地址、电话,1.0,发票 信息 怎么 更改,如何设置发票信息,0.65,如何设置发票信息
