question,code,code2
是什么 卡,318,0
卡 是 做 什么的,318,0
卡 是 什么卡,318,0
卡 作用,318,0
卡 是 干 什么 用,318,0
卡 有 哪些 用途,318,0
卡 是 手机 卡么,318,0
卡 用 在 什么 上面,318,0
怎么 正确 用 卡,316,0
卡 用 时 要 注意 哪些 情况,316,0
卡 要 怎么 保养,316,0
我 买 华为 p 8 卡 怎么 插 不了,316,0
我 买 小辣椒 手机 怎么 不能 安装 卡,316,0
我 卡 尺寸 有点 小 怎么 安装 去,316,0
要 避免 卡 出现 哪些 状况,316,0
平时 怎么 用 卡,316,0
平时 用 卡 注意 什么,316,0
用 卡 要 注意 什么,316,0
互联 卡 遗失 被窃 损坏 故障 怎么,155,0
卡 丢 怎么,155,0
卡 故障 能 补 卡,155,0
卡 断 怎么,155,0
sim 卡能 补 卡,155,0
卡 芯片 不能 手机 老 检测 不到,155,0
卡 遗失 被窃 损坏 故障 怎么,155,0
互联 sim 损坏 怎么,155,0
互联 卡 和 手机 被 偷 走 怎么 弄,155,0
互联 卡 遗失,155,0
拆 机 移机 怎么 收费,1016,62
要 移 商品 问地点 上门 收费,1016,62
移机 商品 价格,1016,62
拆 外机 价格,1016,62
移机 要 收费 材料费,1016,62
柜 机 商品 要 移 内 机,1016,62
移机 价格,1016,62
免费 移机,1016,62
旧 机 拆除 要 收费,1016,62
要 移 商品 问地点 有 上门 费,1016,62
拆 内 机 价格,1016,62
挂 机 拆 外机 价格,1016,62
移机 怎么 收费,1016,62
柜 机 商品 要 移 内 机 价格,1016,62
挂 机 商品 要 移 外机 费用 多少,1016,62
移机 过程 是否 产生 材料费,1016,62
买 商品 现在 要 移 问地点 要 收费,1016,62
拆 机 是 怎么 收费,1016,62
移机 是 怎么 收费 标准,1016,62
移机 要 收费,1016,62
移机 都 什么 费用,1016,62
拆 机 都 什么 费用,1016,62
旧 机 拆除 要 价格,1016,62
拆 机 费用 多少,1016,62
拆 外机 费用 是 多少,1016,62
移 机会 产生 材料费,1016,62
柜 机 商品 移机 怎么 收费 标准,1016,62
商品 移 机要 不要 收费,1016,62
商品 要 移 外机 收费,1016,62
拆 机 费用,1016,62
挂 机 商品 要 移 外机,1016,62
我 移机 是 怎么 收费,1016,62
拆 机 怎么 收费,1016,62
能 免费 移机,1016,62
第一次 拆 机 要 价格,1016,62
拆 机 移机 收费,1016,62
拆 商品 怎么 收费,1016,62
我 看 你 什么 拆 装 费,1016,62
拆 旧 机 装 新机 要 收费,1016,62
安装 怎么 收费,1045,62
是否 免费 安装,1045,62
安装 不要 费用,1045,62
安装 为什么 要 收 材料费,1045,62
免费 安装 是什么,1045,62
安装 时 什么 要 收费,1045,62
高空作业 费 有货,1045,62
多少 楼 开始 收 高空作业 费,1045,62
我 准备 材料 要 收费,1045,62
挂架 价格,1045,62
商品 安装 下 要 收费,1045,62
商品 要 加 管线 价格,1045,62
问地点 在 乡下 上门 安装 要 收费,1045,62
安装 商品 打孔 怎么 收费,1045,62
问地点 有 防盗 网 商品 安装 时 要 拆 是否 收费,1045,62
漏电 保护 开关 要 收费,1045,62
商品 安装 加 挡风 板 收 价格,1045,62
商品 安装 是 怎么 收费 标准,1045,62
安装 要 单独 付费,1045,62
上海 6 楼 商品 安装 有 高空费,1045,62
商品 安装 收费,1045,62
安装 不要 什么 费用,1045,62
要 另 支付 安装费,1045,62
万和 热水器 安装 费用 多少,1045,62
买 商品 要 收 安装费,1045,62
安装 收 人工费,1045,62
安装 一切 都是 免费,1045,62
你 上门 安装 是 怎么 收费,1045,62
你 公司 安装费 是 多少,1045,62
为什么 师傅 要 安装费,1045,62
你 安装 是 要 安装费,1045,62
商品 安装 有 手续费,1045,62
万和 热水器 安装 要 收 材料费,1045,62
我 买 两台 商品 安装 怎么 收费,1045,62
是 免 安装费,1045,62
有 商品 支架 费用,1045,62
安装 费用 是 多少,1045,62
听说 苏 宁安 装 都是 不要 价格,1045,62
上门 安装 收取 其它 费用,1045,62
买 东 西安 装 要 人工费,1045,62
安装 要 价格,1045,62
安排 人 来 安装 收费,1045,62
安装 为什么 要 收费,1045,62
安装 也要 价格,1045,62
安装 人员 费用 是 多少,1045,62
安装 价格 是否 会 变动,1045,62
安装 免费,1045,62
安装 都 什么 费用,1045,62
安装 师傅 说 安装 要 收费 为什么,1045,62
为什么 安装 要 收取 费用,1045,62
安装 时 要 额外 收费,1045,62
安装 是否 收费,1045,62
安装 不会 再 收 什么 费用,1045,62
安装 有 额外 费用,1045,62
安装 材料 有 哪些,1045,62
安装 不要 收费,1045,62
安装 商品 上海 地区 高空费 有货,1045,62
安装 要 哪些 费用,1045,62
安装费 怎么 收取 我 是 挂 墙,1045,62
安装 费用 怎么 收取,1045,62
安装 要 哪些 材料费 用 多少,1045,62
安装 要 材料,1045,62
商品 底座 安装 也要 收费,1045,62
师傅 安装 收费 不,1045,62
安装 商品 要 花钱,1045,62
想购买 商品 挂件 安装 收费,1045,62
我 买 挂架 安装 安装 要 收费 多少,1045,62
我 买 海信 商品 安装 是 免费,1045,62
电视机 为什么 要 收 我 额外 费用,1045,62
我 买 那款 热水器 你 安装 不要 收 价格,1045,62
我 买 热水器 人工费 怎么 算,1045,62
我们 家 在 5 楼 要 收 高空作业 费 价格,1045,62
能 把 安装 价格表 我 参考 下,1045,62
我 安装 要 准备 哪些 东西 支付 价格,1045,62
问地点 在 5 楼 你 上门 安装 要 高空费,1045,62
我 在 8楼 高空费,1045,62
我 我 买 热水器 安装 费用 是 多少,1045,62
上门 安装 商品 收费,1045,62
我有 材料 能 给我 免费 装,1045,62
我 看 评论 你 安装 师傅 乱 收费,1045,62
我 有 材料 安装 不 收 价格,1045,62
我 有 安装费,1045,62
挂架 要 人工费,1045,62
挂 装 和 座 装 怎么 收费,1045,62
换 零件 要 几百元 是否 售后 乱 收费,1045,62
换 商品 要 拆 机 费,1045,62
易 买 热水器 安装 师傅 不 收费,1045,62
是 免费 上门 安装,1045,62
是 免费 物流 安装,1045,62
是否 要 高空费,1045,62
有 安装 有 收费 标准,1045,62
材料 什么的 是否 要 收 价格,1045,62
材料 自备 安装 不 收 价格,1045,62
材料 自备 是 能 免费 安装,1045,62
问地点 在 乡下 要 收 上门 费,1045,62
来 安装 商品 要 远程 费,1045,62
海尔 热水器 有 安装费 和 材料费,1045,62
海尔 热水器 要 安装费,1045,62
热水器 安装 收费 不,1045,62
热水器 安装费 是否 我 出,1045,62
现在 店 买 商品 是 8项 免费 安装 优惠,1045,62
现在 联系 上门 安装 安装 要 收费,1045,62
商品 挂 装 要 收费,1045,62
移机 移 到 19 楼 有 高空费 没有,1045,62
商品 11 楼 外面 安装费 收 价格,1045,62
商品 安装 收取 高空作业 费,1045,62
商品 安装 材料 有 哪些,1045,62
商品 安装 要 准备 什么 材料,1045,62
商品 安装 要 哪些 材料费 用 多少,1045,62
商品 挂架 要 收费,1045,62
商品 有 高空费,1045,62
商品 高空费 怎么 算,1045,62
商品 高空作业 收费 贵,1045,62
商品 高空作业 要不要 价格,1045,62
商品 高空作业 费 是 多少,1045,62
线上 买 商品 安装 时 要 另 付费,1045,62
自备 材料 安装 要 价格,1045,62
苏宁 商品 安装 收费 标准,1045,62
苏宁 自营 海信 商品 上门 安装 也要 收取 服务费,1045,62
装 商品 要 我 出 材料费,1045,62
安装 要 收 材料费,1045,62
买 免费 上门 安装,1045,62
货 送 到 安装 怎么 收费,1045,62
刚 物流 上门 是 免费 安装,1045,62
机子 安装 挂架 要 收费,1045,62
商品 上门 安装 要 30 安装费,1045,62
安装 49寸 电视机 支架 价格 是 多少,1045,62
安装 高空费 价格,1045,62
高空费 有 收费 标准,1045,62
麻烦 查 一下万 和 售后 收费 标准,1045,62
上门 安装 费用 直接 给 师傅 是,1045,62
上门 安装 需 再 另外 给 价格,1045,62
上面 写 同一个 地点 安装费 最多 收 200,1045,62
不是 安装 免费 怎么 有 高空作业 费,1045,62
不是 免费 安装,1045,62
不是 你 不 收 安装费,1045,62
为什么 安装 收费,1045,62
为什么 收 安装 费用,1045,62
商品 安装 什么 费用,1045,62
安装 是否 收 材料费,1045,62
安装 会 额外 收费,1045,62
你 不是 有 免费 安装,1045,62
什么 情况 下 安装 要 收费,1045,62
你 安装 费贵 不 贵,1045,62
商品 安装 收 其他 费用,1045,62
你 觉得 装机 费 怎么 收,1045,62
收 安装 材料费,1045,62
安装 要 另外 收费,1045,62
安装费 多少,1045,62
安装费 是 怎么 算,1045,62
怎么 收取 费用,1045,62
安装 塑料管 怎么 收费,1045,62
安装 安装费 要 多少,1045,62
安装 工具 要 另外 加 价格,1045,62
安装 收费,1045,62
安装 是否 收费 收费 多少,1045,62
安装 费用 怎么 算,1045,62
安装 商品 免费,1045,62
安装 商品 要 什么 费用,1045,62
安装费 怎么,1045,62
安装费 怎么 收,1045,62
安装费 怎么 算,1045,62
安装费 怎么 计,1045,62
安装 费用 能 告诉 下,1045,62
安装 费用 多少,1045,62
安装 资费 标准,1045,62
安装 要 收费,1045,62
安装 要 什么 材料,1045,62
安装 要 什么 费用,1045,62
家里 新 商品 装 要 费用,1045,62
怎么 收 安装 费用,1045,62
安装 是 怎么 收费,1045,62
总 有 安装 收费 标准,1045,62
我 下 你 商品 安装 收费,1045,62
我 商品 收费 你 是 怎么 收费 安装,1045,62
挂架 我 有 能 帮 安装 收费 多少,1045,62
安装 用 支架 费用 多少,1045,62
普通 背景 墙 安装 怎么 收费,1045,62
商品 安装 哪些 要 收费,1045,62
商品 安装 建房 一 楼 要 哪些 费用,1045,62
有 安装 收费 标准 单,1045,62
要 付给 安装 师傅 多少 材料费,1045,62
是 安装 时 老师 带 要 价格,1045,62
上门 安装 收费,1045,62
你 售后 安装 怎么 收费,1045,62
安装 费用 有 发票,1045,62
安装 需 其他 材料费 不,1045,62
为什么 要 安装 费,1045,62
怎么 和 你 网页 收费 标准 不一样,1045,62
工作 人员 来 安装 是否 收费,1045,62
两台 安装费 价格,1045,62
我 在 苏宁 苏宁 买 商品 安装 有 费用,1045,62
安装 费用 有 统一 标准,1045,62
有 公开 安装 收费 标准 码,1045,62
安装 费用 开 不 开 发票,1045,62
农村 安装 是否 格外 贵,1045,62
联系 来 安装 是否 免费,1045,62
商品 免费 安装,1045,62
安装 材料费 怎么 收,1045,62
我 本来 是 苏 宁安 装 不 收费,1045,62
配件 以外 是 收费,1045,62
多少 楼 安装 要 高空作业 费,1045,62
你 要 安装 费用,1045,62
高空作业 费 价格,1045,62
安装 用 支架 价格,1045,62
安装 收 打 洞 和 架子 价格,1045,62
师傅 说 问地点 有 远程 费 你 有 收费 标准,1045,62
安装 服务 收费 是 苏宁 我 定,1045,62
安装 要 打孔 要 价格,1045,62
安装 零件 价格表 有货,1045,62
安装 价格,1045,62
我 货 上门 安装 要 价格,1045,62
夏普 58寸 挂 机 费 应该 是 210对,1045,62
商品 不用 挂 墙上 只是 接 连接线 这样 要 收费,1045,62
问地点 商品 不 需 买 材料 只是 底座 安装 安装 需 收费,1045,62
为什么 师傅 说 电视机 安装 要 收 30,1045,62
你 安装费 有 公开 标准,1045,62
我 怎么 知道 安装费 是否 合理,1045,62
你 安装 收费 透明,1045,62
安装 收 价格 给 开 发票,1045,62
我 怎么 知道 有 乱 收费,1045,62
收费 标准 公 开,1045,62
我 先知 道 收 价格 在 装,1045,62
安装 时 买 架子 是否 给我 正规 发票,1045,62
高空作业 费 怎么 收,1045,62
安装 服务 是 免费,1045,62
安装 人工费 和 高空作业 费 免费 不,1045,62
免 安装费,1045,62
高空作业 费 怎么 收取,1045,62
室外 机 支架 镀 锌 钢板 价格,1045,62
上门 安装 抽油烟机 价格,1045,62
安装 花钱,1045,62
商品 安装费 价格,1045,62
我 一台 是 瓷砖 背景 墙 一台 是 普通 墙纸 应该 只 要 一台 付开孔 费,1045,62
免费 开 下 烟道 口,1045,62
什么 材料费,1045,62
打孔 收费,1045,62
不是 吊 人 外 墙 才 要 高空费,1045,62
回 风 管 和 铜管 加长 各 怎么 收费,1045,62
回 风 管 加长 怎么 收费,1045,62
刚 购 入 一台 安装 费另付,1045,62
安装 前 没有 告知 要 支付 高温 费 过来 安装 才 告知 要 收 100元 高温 费与贵 司 确定,1045,62
一 楼 没有 高空作业 服务,1045,62
挂 装 费用 全 包括 对,1045,62
打孔费 人工费 什么 高空作业 什么的 都 有货,1045,62
我们 家 是 8层 商品 放 阳台 不用 外挂 也要 收 高空作业 费,1045,62
我 俩台 挂 机 一台 柜 机要 收 多少 安装费,1045,62
我 是 六 楼 有 高空作业 费 安装 怎么 收费,1045,62
我 第一个 订单 买 安装 服务 到时候 要 支付 安装费 不,1045,62
我 下 问时间 买 去 预约 安装 要 问时间 有 我 是 住 二 楼 老 商品 要 拆 下 能 安装 要 加 费用,1045,62
家住 五 楼 都 要 什么 服务 和 材料 妮 能 和 我 说 说 我 算 怡 算 经费,1045,62
问地点 住 高 是否 有 高空作业 费,1045,62
比如 我 买 一台 商品 899元 需 送货上门 不 要 安装 是否 不 要 收 其他 费用,1045,62
在 管子 超出 三米 要 收费,1045,62
订单 有 安装费 高空作业 费 不能 蒙 消费者,1045,62
我 知道 为什么 你 苏宁 不 免 材料费,1045,62
怎么 参加 0元 安装,449,62
我 订单 安装 不 收 价格,449,62
0元 安装 是什么 费用 都 没有,449,62
有 0元 安装 优惠,449,62
怎么 判断 是否 参加 0元 安装 优惠,449,62
只有 商品 有 0元 安装 优惠,449,62
我 订单 是 0元 安装,449,62
只有 首次 安装 能 参加 0元 安装 优惠,449,62
0元 安装 免费,449,62
0元 安装 优惠 有 其他 费用,449,62
货到付款 不 参加 0元 安装 优惠,449,62
怎么 参加 0元 安装 优惠,449,62
我 订单 有 0元 安装 资格,449,62
你 有 0元 安装 优惠,449,62
0元 安装 是 只 针对 商品 优惠,449,62
哪些 商品 能 0元 安装 优惠,449,62
0元 安装 优惠 规则 是 什么样,449,62
怎么 判断 是否 符合 0元 安装 优惠,449,62
0元 安装 优惠 要求 是什么,449,62
0元 安装 优惠 什么 要求,449,62
我 是 在 店 支付 能 参加 0元 安装,449,62
0元 安装 哪些 服务 内容 能 免费,449,62
参加 0元 安装 优惠 安装 材料 不 收费,449,62
参加 0元 安装 优惠 有 远程 服务费,449,62
0元 安装 是否 完全 免费,449,62
0元 安装 什么 限制,449,62
是什么 0元 安装,449,62
怎么 能 0元 安装,449,62
0元 安装 是 商品 优惠,449,62
怎么 看 那些 商品 能 0元 安装 优惠,449,62
0元 安装 商品 怎么,449,62
怎么 判断 0元 安装 优惠 有 哪些,449,62
0元 安装 优惠 什么 内容,449,62
0元 安装 商品 什么 要求,449,62
买 都是 0元 安装,449,62
机器 是 零元 安装,449,62
安装 为什么 一直 没有 来,1076,61
问时间 再 安装 不了 我 投诉 315 已经 星期,1076,61
安装 太 慢,1076,61
安装 人 怎么 没有 联系我,1076,61
为什么 手机上 说 安装 完成,1076,61
没有 人 给我 装,1076,61
谁 把 安装 单 取消,1076,61
商品 安装 单 为什么 被 取消,1076,61
客服 说 有 师傅 联系我 可是 没有 人 找 我 好 问时间,1076,61
到底 问时间 能 来 装,1076,61
到底 什么 能 来 安装,1076,61
我 到 至今 未 有 人 上门 安装,1076,61
我 订单 只是 有人 送 但是 没有 装,1076,61
问地点 商品 现在 没有 装,1076,61
我 商品 现在 没有 安装,1076,61
怎么 问时间 没有 来人 安装,1076,61
问时间 买 pptv 商品 附带 音响 现在 都 没有 人 上门 安装,1076,61
我 问时间 问时间 到 但 到 现在 没有 师傅 上门 安装,1076,61
我 问时间 到 热水器 为什么 到 现在 还不 给 安装,1076,61
我 买 3个 热水器 到 现在 没有 来 安装,1076,61
为什么 我 预约 上门 安装 服务 到 现在 都 没有 上门 安装,1076,61
你 约 安装 到 现在 没有 联系 过 我,1076,61
们 问时间 安装 商品 为什么 现在 没有 去,1076,61
我 到 都 问时间 怎么 没有 人 给我 安装,1076,61
我 商品 都 到 星期 为什么 没有 人 来 给我 安装,1076,61
