q,expect_q,nn_sim_q,nn_stan_q,nn_score,sm_sim_q,sm_stan_q,sm_score,new_stan_q
怎么 物流,查询送货动态,怎么 物流,查询送货,1.0,怎么 物流,查询送货,1.0,查询送货
发票 更改 成 电子发票,发票类型是否可以更改,电子发票 更改 成 发票,电子发票和普通纸质发票怎么互换,1.0,电子发票 更改 成 发票,电子发票和普通纸质发票怎么互换,1.0,电子发票和普通纸质发票怎么互换
问时间 到货 问时间 买,下单多久发货,问时间 买 问时间 到货,什么时候送,1.0,问时间 买 问时间 到货,什么时候送,1.0,什么时候送
我 订单 没有 发货,查询送货动态,订单 为什么 没有 发货,为什么还没送到,1.0,订单 为什么 没有 发货,为什么还没送到,0.79,为什么还没送到
我 更改 发票 信息,发票信息是否可以更改,发票 信息 怎么 更改,如何设置发票信息,1.0,发票 信息 怎么 更改,如何设置发票信息,0.85,如何设置发票信息
这些 订单 我 没有 自提,查询送货动态,我 订单 要是 自提,怎么自提,1.0,我 订单 要是 自提,怎么自提,0.69,怎么自提
有 订单 已经 到 系统 说 待 到,订单没有物流信息,订单 说 待 评价了 我 没有 到,为什么未收货却显示送货完成了,1.0,订单 说 待 评价了 我 没有 到,为什么未收货却显示送货完成了,0.51,为什么未收货却显示送货完成了
能 取消 拼团 订单,怎么取消订单,乐拼购 取消 订单,乐拼购可以申请退货么,1.0,乐拼购 取消 订单,乐拼购可以申请退货么,0.87,乐拼购可以申请退货么
我 能 退款 重新 下 订单,可以重新下单吗,半天 不 退款 我 没法 重新 下 订单 支付,多久了怎么还没退款,1.0,半天 不 退款 我 没法 重新 下 订单 支付,多久了怎么还没退款,0.54,多久了怎么还没退款
为什么 不能用 支付宝 支付,是否支持支付宝或微信支付,为什么 不能用 支付宝,支持支付宝或微信支付吗,1.0,不能用 支付宝 支付,支持支付宝或微信支付吗,0.84,支持支付宝或微信支付吗
我 差价 问时间 返,补差券多久到账,差价 给 返,怎么申请价保,1.0,是 问时间 内 降 返 差价,怎么申请价保,0.58,怎么申请价保
既然 你 不 乐意 做 我 笔 生意 麻烦 问时间 退款,如何申请退货,我 拒收 麻烦 问时间 退款,拒收后如何退款,1.0,我 拒收 麻烦 问时间 退款,拒收后如何退款,0.44,拒收后如何退款
